fid,id_class,id_name,area,perimeter
242,"3",Coniferous Trees,37.445556640625000,26.918941867735114
244,"2",Broadleaf Trees,21.946289062500000,19.511190498439291
245,"2",Broadleaf Trees,2.057128906250000,6.045905014452708
247,"3",Coniferous Trees,213.427246093750000,85.580422188060254
248,"3",Coniferous Trees,109.869140625000000,40.818976380162155
249,"1",Grass,65.701904296875000,34.793078528975023
250,"1",Grass,11.796142578125000,17.768853239107024
251,"3",Coniferous Trees,1.097167968750000,4.684680181539713
253,"1",Grass,13460.311523437500000,732.191148315008945
255,"1",Grass,555.652587890625000,94.659426769141845
257,"2",Broadleaf Trees,39.503417968750000,26.337724907153312
259,"3",Coniferous Trees,41.697265625000000,27.361176899215810
260,"2",Broadleaf Trees,21.123535156250000,18.257916208532102
262,"2",Broadleaf Trees,0.548583984375000,2.962851921845572
265,"2",Broadleaf Trees,676.491943359375000,114.423598608275938
266,"3",Coniferous Trees,562.646484375000000,103.315441036106193
267,"2",Broadleaf Trees,2426.703125000000000,429.050464058731336
268,"2",Broadleaf Trees,2159.920654296875000,325.923332413725404
269,"3",Coniferous Trees,575.266113281250000,113.573611368598094
270,"2",Broadleaf Trees,173.923339843750000,69.704478491011088
271,"2",Broadleaf Trees,31.547851562500000,23.010371704101320
272,"2",Broadleaf Trees,22.495117187500000,17.847124388356143
273,"3",Coniferous Trees,20.163330078125000,20.155470456224386
274,"3",Coniferous Trees,171.455566406250000,48.754717270675599
276,"2",Broadleaf Trees,550.162353515625000,98.246229748659758
278,"3",Coniferous Trees,16.459472656250000,14.940954647203158
280,"2",Broadleaf Trees,5.486572265625000,9.082101974064122
281,"2",Broadleaf Trees,160.618652343750000,64.543812575473183
282,"3",Coniferous Trees,2.468994140625000,6.352718370258827
283,"2",Broadleaf Trees,568.132812500000000,109.483267512671404
285,"1",Grass,330.290771484375000,77.557738427321127
287,"2",Broadleaf Trees,87.785644531250000,41.339532211010606
288,"2",Broadleaf Trees,2008.213378906250000,306.853332213247882
289,"2",Broadleaf Trees,360.467041015625000,79.617394918840802
290,"2",Broadleaf Trees,225.498291015625000,59.538576145663598
291,"2",Broadleaf Trees,91.488525390625000,45.534047624458871
293,"2",Broadleaf Trees,33.741699218750000,21.231081283787457
294,"2",Broadleaf Trees,134.145996093750000,47.837869122690435
295,"2",Broadleaf Trees,1.097412109375000,4.684680181435589
296,"2",Broadleaf Trees,5478.603515625000000,690.425180487035050
298,"4",Water,1961.718261718750000,179.492022019007919
299,"2",Broadleaf Trees,76.536621093750000,46.325919305864012
300,"1",Grass,175.432373046875000,53.420752103459471
301,"1",Grass,622.861572265625000,106.711662083799311
302,"3",Coniferous Trees,23.866699218750000,19.636361559213995
304,"2",Broadleaf Trees,2.743408203125000,10.682714666322733
305,"3",Coniferous Trees,924.622802734375000,200.486712129117535
306,"2",Broadleaf Trees,263.492675781250000,67.066308999693462
307,"3",Coniferous Trees,77.361083984375000,37.769707929028193
309,"2",Broadleaf Trees,22.769531250000000,19.836903317420354
311,"3",Coniferous Trees,37.034667968750000,24.687082194392310
312,"1",Grass,15.773681640625000,16.060909766046738
314,"3",Coniferous Trees,33038.812500000000000,1703.555871471229239
315,"3",Coniferous Trees,612.574218750000000,168.521261275999905
316,"3",Coniferous Trees,84.356201171875000,40.674281795300367
317,"2",Broadleaf Trees,29.353515625000000,20.744563104275343
321,"3",Coniferous Trees,65.975585937500000,41.483490254670407
322,"1",Grass,402.714355468750000,86.010661952399616
324,"2",Broadleaf Trees,94.780273437500000,37.064558699637942
326,"1",Grass,70.364746093750000,31.827949174055263
328,"3",Coniferous Trees,3.291992187500000,12.743708146610151
329,"3",Coniferous Trees,20.712158203125000,22.799103293898355
331,"3",Coniferous Trees,181.741699218750000,67.598726916386013
332,"1",Grass,1.097412109375000,4.684680261403611
333,"3",Coniferous Trees,3733.874023437500000,472.173318380099317
334,"1",Grass,27226.211669921875000,1761.481207838672844
338,"2",Broadleaf Trees,183.525390625000000,78.815594440284812
341,"2",Broadleaf Trees,420.819824218750000,94.426757216361139
342,"2",Broadleaf Trees,2.743408203125000,10.682714387374514
343,"3",Coniferous Trees,21.123046875000000,17.261819666062209
344,"3",Coniferous Trees,28.529785156250000,32.740706029212959
347,"3",Coniferous Trees,1.096923828125000,4.684680261403611
348,"2",Broadleaf Trees,22.220458984375000,21.834394844870239
349,"3",Coniferous Trees,4.389160156250000,9.128958104187957
350,"3",Coniferous Trees,0.548583984375000,2.962851921845572
352,"2",Broadleaf Trees,5.761230468750000,11.037398631818624
353,"1",Grass,0.548583984375000,2.962851921845572
354,"1",Grass,5819.592773437500000,326.427659331074608
355,"2",Broadleaf Trees,676.355468750000000,124.932702320828241
356,"3",Coniferous Trees,121.527832031250000,41.584050126422355
358,"1",Grass,18.517333984375000,19.478023494126802
360,"3",Coniferous Trees,81.338378906250000,33.850271923513084
361,"1",Grass,5590.116699218750000,669.550882500336797
362,"2",Broadleaf Trees,15.773437500000000,24.745326931734830
363,"2",Broadleaf Trees,0.548828125000000,2.962851921845572
364,"3",Coniferous Trees,18352.395751953125000,1211.574652909349879
365,"2",Broadleaf Trees,819.007812500000000,139.567585926847130
366,"3",Coniferous Trees,1541.447998046875000,285.699155296876086
368,"3",Coniferous Trees,85.864257812500000,34.772892735562181
369,"3",Coniferous Trees,35.113769531250000,32.152085995347193
370,"3",Coniferous Trees,189.560058593750000,52.125217687659799
372,"3",Coniferous Trees,75.165527343750000,31.780596524739167
373,"1",Grass,0.548828125000000,2.962851921845572
375,"3",Coniferous Trees,4.800781250000000,9.528036574488365
376,"2",Broadleaf Trees,1.645996093750000,6.625138380717069
377,"1",Grass,12.618896484375000,21.593992507744641
378,"1",Grass,24.552734375000000,19.919176756445044
379,"1",Grass,0.548828125000000,2.962851921845572
380,"3",Coniferous Trees,0.548828125000000,2.962851921845572
382,"3",Coniferous Trees,599.954833984375000,109.169299177945149
384,"2",Broadleaf Trees,108.084472656250000,39.259763649201822
385,"2",Broadleaf Trees,58.157470703125000,31.567818491867399
386,"3",Coniferous Trees,81.475830078125000,34.329558739092768
389,"3",Coniferous Trees,180.096435546875000,52.923687834453411
390,"2",Broadleaf Trees,159.109375000000000,67.529450411597040
391,"2",Broadleaf Trees,6426.404541015625000,843.861700865862417
392,"3",Coniferous Trees,96.289794921875000,35.893558095160785
395,"1",Grass,88.333740234375000,38.548575981550997
396,"3",Coniferous Trees,39.502929687500000,29.218017385629658
397,"1",Grass,145.119140625000000,47.492810028143921
398,"3",Coniferous Trees,11.659179687500000,13.693437117615014
400,"4",Water,1998.201416015625000,182.211714772405998
401,"2",Broadleaf Trees,769.763183593750000,160.537713308145072
403,"2",Broadleaf Trees,271.996337890625000,63.071756283781333
404,"2",Broadleaf Trees,4601.851806640625000,550.493927283296784
405,"2",Broadleaf Trees,75.576904296875000,39.753948036180731
406,"1",Grass,15.910644531250000,16.687518419820648
407,"3",Coniferous Trees,8.504150390625000,12.491929477233811
409,"1",Grass,1.645996093750000,6.625138229118018
412,"3",Coniferous Trees,434.809570312500000,98.843377107596169
415,"2",Broadleaf Trees,41.286621093750000,27.301075907494045
416,"2",Broadleaf Trees,123.447753906250000,43.763460134678091
418,"3",Coniferous Trees,22.768554687500000,19.679650525172757
419,"3",Coniferous Trees,3.841064453125000,9.315570292104399
420,"3",Coniferous Trees,55.414306640625000,29.139416509192515
422,"1",Grass,843.559326171875000,150.213407749488994
423,"1",Grass,151.429199218750000,49.383734577922041
424,"2",Broadleaf Trees,561.550537109375000,121.435244211101377
425,"3",Coniferous Trees,150.606689453125000,46.749466955137379
427,"4",Water,9171.052490234375000,443.079724212850408
428,"2",Broadleaf Trees,1284.129150390625000,151.139173535822266
429,"1",Grass,960.283935546875000,158.047622648486396
430,"2",Broadleaf Trees,564.017089843750000,101.278620476450968
431,"3",Coniferous Trees,49.927001953125000,33.618818465692826
432,"2",Broadleaf Trees,172.689453125000000,52.296623379442700
434,"2",Broadleaf Trees,97.386718750000000,44.558639477140133
435,"2",Broadleaf Trees,153.212158203125000,56.185556510783059
438,"3",Coniferous Trees,234.550781250000000,59.853135116497420
441,"1",Grass,69.541748046875000,31.965092626567795
442,"1",Grass,3135.153808593750000,344.787794484027700
443,"2",Broadleaf Trees,248.678955078125000,59.770896763597342
444,"3",Coniferous Trees,239.488281250000000,58.979953300800034
448,"2",Broadleaf Trees,489.673339843750000,84.035768601919600
450,"3",Coniferous Trees,30.724609375000000,25.656538310148147
451,"2",Broadleaf Trees,446.193359375000000,84.464648034424357
452,"3",Coniferous Trees,273.230957031250000,61.267653048772772
453,"3",Coniferous Trees,47.595947265625000,26.935498235467591
454,"3",Coniferous Trees,27.844726562500000,28.570971101567665
455,"3",Coniferous Trees,32.096435546875000,22.530023509874489
456,"2",Broadleaf Trees,11.521728515625000,20.932348523163615
457,"2",Broadleaf Trees,21.671386718750000,18.400699203464011
458,"1",Grass,1.097412109375000,4.684680261403611
459,"3",Coniferous Trees,22.357177734375000,22.464030437185873
460,"3",Coniferous Trees,1.097412109375000,4.684680181435589
461,"2",Broadleaf Trees,0.548583984375000,2.962851922010208
462,"1",Grass,2126.589355468750000,262.797442984808129
464,"1",Grass,93.820312500000000,35.523011550756273
465,"2",Broadleaf Trees,4.800781250000000,9.528036420633512
466,"2",Broadleaf Trees,0.548828125000000,2.962851921845572
468,"3",Coniferous Trees,85.041992187500000,42.635909825103631
469,"2",Broadleaf Trees,69.679199218750000,34.187807788204886
470,"1",Grass,0.548828125000000,2.962851921845572
471,"1",Grass,0.548828125000000,2.962851923162661
473,"3",Coniferous Trees,7.406982421875000,11.932813842390942
474,"3",Coniferous Trees,0.548828125000000,2.962851921845572
475,"3",Coniferous Trees,231.807373046875000,78.965061150780400
476,"2",Broadleaf Trees,1461.620117187500000,291.228145461973327
477,"1",Grass,149.920166015625000,54.999875794084453
479,"2",Broadleaf Trees,148.960449218750000,47.320569071603195
483,"2",Broadleaf Trees,9.602294921875000,17.502299700388342
487,"3",Coniferous Trees,70.914062500000000,32.632142075785630
488,"3",Coniferous Trees,7.133056640625000,12.091810026033528
489,"2",Broadleaf Trees,1.645996093750000,6.625138380128050
491,"1",Grass,3.703125000000000,7.927450465322577
492,"1",Grass,0.548583984375000,2.962851921845572
493,"1",Grass,8.641601562500000,14.956701341897237
494,"1",Grass,1677.652099609375000,173.826452249090210
495,"3",Coniferous Trees,354.294921875000000,92.029143516244815
